epoch,accuracy,loss,val_accuracy,val_loss
0,0.9524111747741699,0.1496189832687378,0.998412013053894,0.026576438918709755
1,0.9930654764175415,0.03191020339727402,0.998412013053894,0.028795955702662468
2,0.995738685131073,0.023720184341073036,0.9987296462059021,0.027490539476275444
3,0.997379720211029,0.014451122842729092,0.9988355040550232,0.0318719819188118
4,0.9970091581344604,0.01289474219083786,0.9988355040550232,0.025889627635478973
5,0.9975385069847107,0.01053798571228981,0.9989413619041443,0.02583894692361355
6,0.9982796311378479,0.0073412139900028706,0.998412013053894,0.026026783511042595
7,0.9978561401367188,0.008741982281208038,0.9987296462059021,0.03318405523896217
8,0.998888373374939,0.00436059944331646,0.9988355040550232,0.0314556360244751
9,0.9983325600624084,0.007751064375042915,0.9988355040550232,0.038371846079826355
10,0.9988354444503784,0.003739959094673395,0.9986237287521362,0.030800163745880127
11,0.9985442757606506,0.005489749368280172,0.9989413619041443,0.039754483848810196
12,0.9989942312240601,0.004246773198246956,0.9980944395065308,0.037270791828632355
13,0.998385488986969,0.007003877777606249,0.9987296462059021,0.04856222867965698
14,0.9986236691474915,0.005127394571900368,0.9989413619041443,0.04605632275342941
