epoch,train_loss,train_acc,val_loss,val_acc
1,0.09176459163427353,0.9710179567337036,0.03739331290125847,0.9900487065315247
2,0.03516741096973419,0.9902069568634033,0.028098978102207184,0.9935422539710999
3,0.03128804266452789,0.9921920299530029,0.03745880350470543,0.9918484091758728
4,0.03643028438091278,0.9912391901016235,0.036922093480825424,0.992060124874115
5,0.026903819292783737,0.9927743077278137,0.024343419820070267,0.9962947368621826
6,0.025344805791974068,0.9938595294952393,0.02745659090578556,0.9948126077651978
7,0.024603350088000298,0.9942300319671631,0.027492696419358253,0.9947067499160767
8,0.02401755563914776,0.9943888783454895,0.026279637590050697,0.995341956615448
9,0.023537199944257736,0.994627058506012,0.027528483420610428,0.9949184656143188
10,0.024128645658493042,0.9940977096557617,0.02743592858314514,0.9948126077651978
11,0.23814469575881958,0.9336456656455994,0.05233736336231232,0.9846495985984802
12,0.055648986250162125,0.9848340749740601,0.021477531641721725,0.9958712458610535
13,0.03575868159532547,0.9905245900154114,0.015589434653520584,0.9985178709030151
14,0.029118208214640617,0.9935418963432312,0.015175191685557365,0.9987296462059021
15,0.023028993979096413,0.9949711561203003,0.014695935882627964,0.9990472197532654
16,0.01897369511425495,0.9961092472076416,0.0144574586302042,0.9990472197532654
17,0.01625220663845539,0.9969297647476196,0.014615483582019806,0.9990472197532654
18,0.016434408724308014,0.9973267912864685,0.015075378119945526,0.9990472197532654
19,0.014401189051568508,0.9975385069847107,0.014951295219361782,0.9990472197532654
20,0.013202120549976826,0.997882604598999,0.01501599419862032,0.9990472197532654
21,0.01307676825672388,0.9975120425224304,0.01506800763309002,0.9990472197532654
