epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,lr,epoch_time_sec
1,1.460270106524588,0.2652877697841727,1.2735909285802667,0.36725849294002516,0.3027528264781352,0.0003,223.94927787780762
2,1.2789445717986616,0.39052757793764986,1.241403782949337,0.3787222144554732,0.2866832946409166,0.0003,190.63460731506348
3,1.236453535315503,0.41855515587529973,1.2476307959735236,0.37550678037187196,0.30111695986196185,0.0003,190.79334449768066
4,1.2154346792984625,0.4377697841726619,1.2171316771478597,0.4133929819656088,0.31382407197359624,0.0003,190.20612406730652
5,1.2103681662904258,0.4429256594724221,1.200052956967825,0.40836012861736337,0.3227343315854782,0.0003,190.50470161437988
6,1.1895777684159787,0.45455635491606716,1.2299169461560153,0.406123304907032,0.3328586595952803,0.0003,191.03087306022644
7,1.1747470634051755,0.4680755395683453,1.2181776515273937,0.4005312456312037,0.32269128020965326,0.0003,191.00795531272888
8,1.1713130468519046,0.4675359712230216,1.274033864661395,0.3783028100097861,0.311634865280349,0.00015,187.4010739326477
9,1.1203288494544172,0.4985611510791367,1.173978664150742,0.44862295540332725,0.37862585194309023,0.00015,190.73293256759644
10,1.098331405043752,0.5117505995203837,1.1676732928756566,0.45854886061792255,0.37444510562007327,0.00015,191.15366172790527
11,1.0886967444878441,0.5133093525179856,1.1503784015064353,0.4867887599608556,0.3990509802476709,0.00015,191.23161482810974
12,1.0742504289847536,0.5218824940047961,1.1427138164862376,0.48636935551516847,0.39195190217303616,0.00015,191.4834897518158
13,1.066543888107127,0.5276378896882494,1.1423839310174486,0.5106948133650216,0.4060505758865308,0.00015,190.72434854507446
14,1.05610990421433,0.5338729016786571,1.1529064179050095,0.5002097022228436,0.4194349859762391,0.00015,187.75097060203552
15,1.044455348684615,0.5359112709832135,1.1354359357853328,0.5113938207745002,0.43236888071101365,0.00015,191.63463735580444
16,1.029159822846282,0.5443944844124701,1.18318629650641,0.4504403746679715,0.3857794745110971,0.00015,191.61013865470886
17,1.0160777189524595,0.5473920863309353,1.1617778568655799,0.5234167482175311,0.44574594246019544,0.00015,193.0401849746704
18,1.004602203132565,0.5493705035971223,1.144267213264579,0.5091569970641688,0.4245071347012769,7.5e-05,190.45579075813293
19,0.9474692218663259,0.5729616306954436,1.1880428321908507,0.5137704459667273,0.4429355957058531,7.5e-05,187.83784317970276
20,0.9166399396710874,0.5817446043165467,1.2051634807637,0.5294282119390465,0.4468978464540766,7.5e-05,187.75758290290833
21,0.8909714156810316,0.5851918465227818,1.1590853092488118,0.5253739689640711,0.44480114131102694,3.75e-05,189.00801706314087
22,0.8504544728183283,0.6022781774580336,1.244428697127188,0.5225779393261568,0.44322956948335657,3.75e-05,191.20757031440735
23,0.8224816627903592,0.6086031175059952,1.2270462936568758,0.5287292045295681,0.4495138001836268,3.75e-05,190.6654417514801
24,0.8018049499488404,0.6098920863309353,1.2720726173765322,0.5252341674821753,0.44708500883429786,1.875e-05,191.1590313911438
25,0.7706996497117036,0.6172961630695444,1.2835073276498044,0.5250943660002796,0.4502928608140032,1.875e-05,189.45780992507935
