epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,lr,epoch_time_sec
1,1.329023789356622,0.363189448441247,1.2191306058716878,0.4388368516706277,0.3401933626069319,0.0003,220.46723985671997
2,1.223342003634609,0.4326139088729017,1.2087418184353058,0.426254718300014,0.3466248093660082,0.0003,167.4887340068817
3,1.1901854427302674,0.45599520383693043,1.1839339089913583,0.4659583391583951,0.3893542601797151,0.0003,167.71946573257446
4,1.1668618936108404,0.46924460431654674,1.1932010357152927,0.44988116874038864,0.36235805307844987,0.0003,166.76944017410278
5,1.1583404442442422,0.4756294964028777,1.2142809763682,0.39969243673982946,0.3209127230457042,0.0003,167.38836908340454
6,1.1425977997828705,0.4818045563549161,1.2530987451130837,0.41395218789319166,0.3304648855024152,0.00015,167.42025756835938
7,1.0893626381076755,0.5124700239808153,1.1496887403185778,0.46400111841185515,0.3836931452203701,0.00015,167.38759541511536
8,1.0647590441946373,0.5257194244604316,1.1316652593955316,0.4687543687963092,0.3912901811815867,0.00015,167.50020933151245
9,1.049170055728839,0.5352218225419664,1.1877770169488238,0.4354816161051307,0.3731825710235053,0.00015,167.6318690776825
10,1.036867701362282,0.5389688249400479,1.1737321782125454,0.45533342653432124,0.39261986713026287,0.00015,167.44588136672974
11,1.0214195536041397,0.5464928057553957,1.1799018008965938,0.5098560044736474,0.4235781651310107,7.5e-05,167.42920660972595
12,0.9628462729727474,0.5693645083932853,1.1692966262343945,0.4990912903676779,0.4227260350290747,7.5e-05,167.42013478279114
13,0.928842609871126,0.5789568345323741,1.1794951285296649,0.5087375926184817,0.4296084409733965,7.5e-05,167.50436639785767
14,0.90027110104764,0.5859712230215828,1.1872708564719237,0.49979029777715644,0.4246167682503782,3.75e-05,166.84632229804993
15,0.8422062397003174,0.5997002398081535,1.2176664806938864,0.5246749615545925,0.44276813394598047,3.75e-05,168.59072303771973
16,0.8097044159006177,0.6087230215827338,1.2191057993901389,0.5376764993708933,0.4546981064792008,3.75e-05,168.59005665779114
17,0.7928653437950276,0.6123201438848921,1.2457040721397208,0.5309660282398994,0.44933899263948024,1.875e-05,168.75598168373108
18,0.760810297426508,0.621462829736211,1.2627270705763582,0.5326436460226478,0.4529499180432955,1.875e-05,166.82764649391174
