epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,lr,epoch_time_sec
1,1.3421444153155695,0.36933453237410074,1.230255338456703,0.4287711449741367,0.35212924825329334,0.0003,179.51048231124878
2,1.2142593372474573,0.44199640287769787,1.2085980102930238,0.4352020131413393,0.36405404854657064,0.0003,110.2362413406372
3,1.1771692033082317,0.46447841726618705,1.165139614952439,0.4533762057877814,0.37929849507993696,0.0003,111.80169677734375
4,1.1399233433361557,0.4861810551558753,1.1815701618438565,0.4416328813085419,0.3833180973606651,0.0003,111.22597432136536
5,1.11710983725861,0.4934352517985611,1.1888049196467005,0.44359010205508176,0.37825836214461106,0.0003,111.41825079917908
6,1.0954726860503081,0.5072541966426859,1.1638465916487148,0.5115336222563959,0.42072833287275246,0.0003,111.74808192253113
7,1.0615828220265258,0.5212529976019185,1.205419783027759,0.47183000139801484,0.3990745397218462,0.0003,111.31803965568542
8,1.036983794967155,0.5321642685851319,1.2480681427588718,0.4546344191248427,0.3861730331720942,0.0003,111.376957654953
9,1.000974237629563,0.5380395683453237,1.2655613119079236,0.48441213476862854,0.39787052917424115,0.00015,111.61662983894348
10,0.8749832874704732,0.5725119904076739,1.2697970461223769,0.5000699007409478,0.417862559851359,0.00015,112.75659251213074
11,0.8113069248439467,0.5916666666666667,1.2908159046761059,0.5048231511254019,0.4217037853252273,0.00015,109.8281033039093
12,0.7648499145281523,0.6060251798561151,1.323413699782013,0.5042639451978191,0.4248930505966649,7.5e-05,110.88877034187317
13,0.6932552693967187,0.6321043165467626,1.43449007455709,0.5146092548581015,0.4305337329743142,7.5e-05,110.37095260620117
14,0.6602105298488877,0.6424760191846522,1.4764986950693206,0.5141898504124144,0.4311974109220426,7.5e-05,110.74062657356262
15,0.6325672058113697,0.6536870503597122,1.5102810259717303,0.5106948133650216,0.4293515437834947,3.75e-05,111.54236483573914
16,0.5914664001488844,0.6671762589928057,1.5236673163364405,0.5116734237382916,0.4276503943340794,3.75e-05,111.2290210723877
